,0
1088,68243
1089,6943
1090,110928
1091,86170
1092,86185
1093,110123
1094,8931
1095,85716
1096,9683
1097,86160
1098,109986
1099,109950
1100,68786
1101,9821
1102,110001
1103,68421
1104,66442
1105,6950
1106,86174
1107,8936
1108,109649
1109,121067
1110,7981
1111,86112
1112,6994
1113,110882
1114,68257
1115,67838
1116,112212
1117,3533
1118,112965
1119,3594
1120,9904
1121,8892
1122,109635
1123,85712
1124,86104
1125,66431
1126,68435
1127,110825
1128,109646
1129,85287
1130,66592
1131,123138
1132,68241
1133,110968
1134,5454
1135,123139
1136,6960
1137,9702
1138,68244
1139,85277
1140,6979
1141,110983
1142,5712
1143,67831
1144,68775
1145,85273
1146,5675
1147,110859
1148,67809
1149,112947
1150,67862
1151,110891
1152,67823
1153,8916
1154,20454
1155,113295
1156,109184
1157,109956
1158,112044
1159,5429
1160,6946
1161,5710
1162,85717
1163,99010
1164,8908
1165,85292
1166,67870
1167,124122
1168,113320
1169,67856
1170,110879
1171,113261
1172,109228
1173,6999
1174,9893
1175,5721
1176,109987
1177,67825
1178,68442
1179,85230
1180,85225
1181,8911
1182,5636
1183,109637
1184,66243
1185,109960
1186,124098
1187,121217
1188,110054
1189,110756
1190,109958
1191,110048
1192,85183
1193,112035
1194,8919
1195,110122
1196,113292
1197,113184
1198,112243
1199,8899
1200,85280
1201,110855
1202,121223
1203,12099
1204,110125
1205,9526
1206,99145
1207,3536
1208,110017
1209,113285
1210,110003
1211,121164
1212,7931
1213,109227
1214,110783
1215,8932
1216,66610
1217,85193
1218,86180
1219,110899
1220,86119
1221,98985
1222,3372
1223,66616
1224,124160
1225,6981
1226,68770
1227,5706
1228,8922
1229,5692
1230,121160
1231,110819
1232,5654
1233,110049
1234,5448
1235,113297
1236,5605
1237,110092
1238,8928
1239,109953
1240,5660
1241,9689
1242,109955
1243,7012
1244,7919
1245,112233
1246,6965
1247,66435
1248,20863
1249,7984
1250,112246
1251,98981
1252,85175
1253,99184
1254,69226
1255,5593
1256,112186
1257,67822
1258,66225
1259,13629
1260,7009
1261,5704
1262,8895
1263,110901
1264,6974
1265,110114
1266,5444
1267,66226
1268,9709
1269,110060
1270,110955
1271,85172
1272,109984
1273,5638
1274,110930
1275,66239
1276,99008
1277,109974
1278,86099
1279,121168
1280,85187
1281,13608
1282,112227
1283,109957
1284,110055
1285,5221
1286,124079
1287,85190
1288,85722
1289,113346
1290,110112
1291,67868
1292,8897
1293,110080
1294,5698
1295,121178
1296,5570
1297,7924
1298,110791
1299,123184
1300,109207
1301,85205
1302,85210
1303,86102
1304,66597
1305,9895
1306,110109
1307,66235
1308,66241
1309,67811
1310,68252
1311,110887
1312,67449
1313,121152
1314,112242
1315,113343
1316,124159
1317,85696
1318,112239
1319,66255
1320,5478
1321,85242
1322,8926
1323,113318
1324,109648
1325,68766
1326,98911
1327,113293
1328,110011
1329,86149
1330,5445
1331,5564
1332,124158
1333,109966
1334,121220
1335,7925
1336,122160
1337,68424
1338,9883
1339,3213
1340,85171
1341,5679
1342,5473
1343,110102
1344,66224
1345,111107
1346,110877
1347,110759
1348,68430
1349,113202
1350,110871
1351,112235
1352,5601
1353,98890
1354,85199
1355,7983
1356,98893
1357,66599
1358,110116
1359,9847
1360,99045
1361,110110
1362,110911
1363,110053
1364,68761
1365,66601
1366,7007
1367,122162
1368,113326
1369,86188
1370,5572
1371,109231
1372,85241
1373,110764
1374,109223
1375,110071
1376,66595
1377,5472
1378,110130
1379,85237
1380,67830
1381,109185
1382,109907
1383,121181
1384,8857
1385,9672
1386,5635
1387,98986
1388,8831
1389,5465
1390,112250
1391,85176
1392,85258
1393,123192
1394,123257
1395,67839
1396,125970
1397,68820
1398,113166
1399,113298
1400,66238
1401,6963
1402,113310
1403,85235
1404,5456
1405,122177
1406,113162
1407,67826
1408,110920
1409,5703
1410,113183
1411,46976
1412,66234
1413,86164
1414,109832
1415,109225
1416,109221
1417,112183
1418,85166
1419,110064
1420,6966
1421,69233
1422,66593
1423,110833
1424,112034
1425,8885
1426,110772
1427,66434
1428,5671
1429,110890
1430,85688
1431,9864
1432,8914
1433,5595
1434,8890
1435,109634
1436,112975
1437,68585
1438,112061
1439,8927
1440,5599
1441,110824
1442,112181
1443,110903
1444,99003
1445,5577
1446,110953
1447,66596
1448,124080
1449,112999
1450,6980
1451,85270
1452,110113
1453,66246
1454,112201
1455,7010
1456,109968
1457,110031
1458,85690
1459,113302
1460,86144
1461,85704
1462,5597
1463,122126
1464,112056
1465,85288
1466,5657
1467,110063
1468,110022
1469,86163
1470,85168
1471,109197
1472,86183
1473,86111
1474,86166
1475,66619
1476,86181
1477,112978
1478,68262
1479,68238
1480,8851
1481,109196
1482,9885
1483,67878
1484,5639
1485,122184
1486,110041
1487,124156
1488,85174
1489,5432
1490,86156
1491,113260
1492,110767
1493,109976
1494,6969
1495,98904
1496,9869
